example_id                                            | status | run_time        |
./spec/models/review_spec.rb[1:2:4:2]                 | passed | 0.61986 seconds |
./spec/models/review_spec.rb[1:3:1]                   | passed | 0.54867 seconds |
./spec/models/review_spec.rb[1:3:2]                   | passed | 0.55397 seconds |
./spec/models/review_spec.rb[1:3:3]                   | passed | 0.5523 seconds  |
./spec/models/review_spec.rb[1:4:1]                   | passed | 0.54896 seconds |
./spec/models/room_spec.rb[1:1:1]                     | passed | 0.05729 seconds |
./spec/models/room_spec.rb[1:1:2]                     | passed | 0.02178 seconds |
./spec/models/room_spec.rb[1:2:1]                     | passed | 0.0377 seconds  |
./spec/models/room_spec.rb[1:2:2]                     | passed | 0.02317 seconds |
./spec/models/room_spec.rb[1:2:3]                     | passed | 0.02514 seconds |
./spec/models/room_spec.rb[1:2:4]                     | passed | 0.03787 seconds |
./spec/models/room_spec.rb[1:2:5]                     | passed | 0.02224 seconds |
./spec/models/room_spec.rb[1:2:6]                     | passed | 0.0251 seconds  |
./spec/models/room_spec.rb[1:2:7]                     | passed | 0.03856 seconds |
./spec/models/room_spec.rb[1:2:8]                     | passed | 0.02105 seconds |
./spec/models/room_spec.rb[1:2:9]                     | passed | 0.02866 seconds |
./spec/models/room_spec.rb[1:3:1]                     | passed | 0.1026 seconds  |
./spec/models/room_spec.rb[1:4:1]                     | passed | 0.0141 seconds  |
./spec/models/room_spec.rb[1:5:1]                     | passed | 0.14341 seconds |
./spec/models/room_spec.rb[1:5:2]                     | passed | 0.65525 seconds |
./spec/models/room_spec.rb[1:5:3]                     | passed | 0.87671 seconds |
./spec/models/room_spec.rb[1:5:4]                     | passed | 0.06686 seconds |
./spec/models/user_spec.rb[1:1:1]                     | passed | 0.54726 seconds |
./spec/models/user_spec.rb[1:1:2]                     | passed | 0.55253 seconds |
./spec/models/user_spec.rb[1:1:3]                     | passed | 0.58918 seconds |
./spec/models/user_spec.rb[1:1:4]                     | passed | 0.5802 seconds  |
./spec/models/user_spec.rb[1:1:5]                     | passed | 0.57328 seconds |
./spec/models/user_spec.rb[1:1:6]                     | passed | 0.60719 seconds |
./spec/models/user_spec.rb[1:2:1]                     | passed | 0.56383 seconds |
./spec/models/user_spec.rb[1:2:2]                     | passed | 0.58216 seconds |
./spec/models/user_spec.rb[1:2:3]                     | passed | 0.5708 seconds  |
./spec/models/user_spec.rb[1:2:4]                     | passed | 0.57292 seconds |
./spec/models/user_spec.rb[1:2:5:1]                   | passed | 0.58907 seconds |
./spec/models/user_spec.rb[1:2:5:2]                   | passed | 0.58258 seconds |
./spec/models/user_spec.rb[1:2:6:1]                   | passed | 0.57447 seconds |
./spec/models/user_spec.rb[1:2:6:2]                   | passed | 0.5589 seconds  |
./spec/models/user_spec.rb[1:2:6:3]                   | passed | 0.55208 seconds |
./spec/models/user_spec.rb[1:3:1]                     | passed | 0.01115 seconds |
./spec/models/user_spec.rb[1:3:2]                     | passed | 0.0085 seconds  |
./spec/models/user_spec.rb[1:3:3]                     | passed | 1.74 seconds    |
./spec/models/user_spec.rb[1:4:1]                     | passed | 0.54059 seconds |
./spec/models/user_spec.rb[1:4:2]                     | passed | 0.54734 seconds |
./spec/models/user_spec.rb[1:4:3]                     | passed | 0.54509 seconds |
./spec/policies/booking_policy_spec.rb[1:1:1:1]       | passed | 1.32 seconds    |
./spec/policies/booking_policy_spec.rb[1:1:1:2]       | passed | 1.33 seconds    |
./spec/policies/booking_policy_spec.rb[1:1:1:3]       | passed | 1.22 seconds    |
./spec/policies/booking_policy_spec.rb[1:1:1:4]       | passed | 1.24 seconds    |
./spec/policies/booking_policy_spec.rb[1:1:1:5]       | passed | 1.23 seconds    |
./spec/policies/booking_policy_spec.rb[1:1:2:1]       | passed | 1.22 seconds    |
./spec/policies/booking_policy_spec.rb[1:1:2:2]       | passed | 1.23 seconds    |
./spec/policies/booking_policy_spec.rb[1:1:2:3]       | passed | 1.22 seconds    |
./spec/policies/booking_policy_spec.rb[1:1:3:1]       | passed | 1.87 seconds    |
./spec/policies/booking_policy_spec.rb[1:1:3:2]       | passed | 1.79 seconds    |
./spec/policies/booking_policy_spec.rb[1:1:4:1]       | passed | 1.81 seconds    |
./spec/policies/booking_policy_spec.rb[1:1:4:2]       | passed | 1.92 seconds    |
./spec/policies/booking_policy_spec.rb[1:2:1]         | passed | 1.99 seconds    |
./spec/policies/booking_policy_spec.rb[1:2:2]         | passed | 2.06 seconds    |
./spec/policies/booking_policy_spec.rb[1:2:3]         | passed | 2.44 seconds    |
./spec/policies/hotel_policy_spec.rb[1:1:1:1]         | passed | 0.59837 seconds |
./spec/policies/hotel_policy_spec.rb[1:1:1:2]         | passed | 0.59324 seconds |
./spec/policies/hotel_policy_spec.rb[1:1:1:3]         | passed | 0.59573 seconds |
./spec/policies/hotel_policy_spec.rb[1:1:1:4]         | passed | 0.59501 seconds |
./spec/policies/hotel_policy_spec.rb[1:1:1:5]         | passed | 0.60395 seconds |
./spec/policies/hotel_policy_spec.rb[1:1:2:1]         | passed | 1.17 seconds    |
./spec/policies/hotel_policy_spec.rb[1:1:2:2]         | passed | 1.16 seconds    |
./spec/policies/hotel_policy_spec.rb[1:1:2:3]         | passed | 1.17 seconds    |
./spec/policies/hotel_policy_spec.rb[1:1:2:4]         | passed | 1.16 seconds    |
./spec/policies/hotel_policy_spec.rb[1:1:3:1]         | passed | 0.59137 seconds |
./spec/policies/hotel_policy_spec.rb[1:1:3:2]         | passed | 0.59708 seconds |
./spec/policies/hotel_policy_spec.rb[1:1:3:3]         | passed | 0.59422 seconds |
./spec/policies/hotel_policy_spec.rb[1:1:4:1]         | passed | 1.24 seconds    |
./spec/policies/hotel_policy_spec.rb[1:1:4:2]         | passed | 1.17 seconds    |
./spec/policies/hotel_policy_spec.rb[1:1:5:1]         | passed | 1.17 seconds    |
./spec/policies/hotel_policy_spec.rb[1:1:5:2]         | passed | 1.22 seconds    |
./spec/policies/hotel_policy_spec.rb[1:2:1]           | passed | 0.62792 seconds |
./spec/policies/hotel_policy_spec.rb[1:2:2]           | passed | 0.66185 seconds |
./spec/policies/property_policy_spec.rb[1:1:1:1]      | passed | 0.64532 seconds |
./spec/policies/property_policy_spec.rb[1:1:1:2]      | passed | 0.60421 seconds |
./spec/policies/property_policy_spec.rb[1:1:1:3]      | passed | 0.61409 seconds |
./spec/policies/property_policy_spec.rb[1:1:1:4]      | passed | 0.63079 seconds |
./spec/policies/property_policy_spec.rb[1:1:1:5]      | passed | 0.63531 seconds |
./spec/policies/property_policy_spec.rb[1:1:2:1]      | passed | 1.23 seconds    |
./spec/policies/property_policy_spec.rb[1:1:2:2]      | passed | 1.18 seconds    |
./spec/policies/property_policy_spec.rb[1:1:2:3]      | passed | 1.22 seconds    |
./spec/policies/property_policy_spec.rb[1:1:2:4]      | passed | 1.17 seconds    |
./spec/policies/property_policy_spec.rb[1:1:2:5]      | passed | 1.18 seconds    |
./spec/policies/property_policy_spec.rb[1:1:3:1]      | passed | 0.59956 seconds |
./spec/policies/property_policy_spec.rb[1:1:3:2]      | passed | 0.59574 seconds |
./spec/policies/property_policy_spec.rb[1:1:3:3]      | passed | 0.59618 seconds |
./spec/policies/property_policy_spec.rb[1:1:4:1]      | passed | 1.16 seconds    |
./spec/policies/property_policy_spec.rb[1:1:4:2]      | passed | 1.17 seconds    |
./spec/policies/property_policy_spec.rb[1:1:5:1]      | passed | 1.18 seconds    |
./spec/policies/property_policy_spec.rb[1:1:5:2]      | passed | 1.23 seconds    |
./spec/policies/property_policy_spec.rb[1:2:1]        | passed | 5.47 seconds    |
./spec/policies/property_policy_spec.rb[1:2:2]        | passed | 0.60779 seconds |
./spec/policies/review_policy_spec.rb[1:1:1:1]        | passed | 0.61514 seconds |
./spec/policies/review_policy_spec.rb[1:1:1:2]        | passed | 0.6145 seconds  |
./spec/policies/review_policy_spec.rb[1:1:2:1]        | passed | 1.19 seconds    |
./spec/policies/review_policy_spec.rb[1:1:2:2]        | passed | 1.21 seconds    |
./spec/policies/review_policy_spec.rb[1:1:3:1]        | passed | 0.64177 seconds |
./spec/policies/review_policy_spec.rb[1:1:3:2]        | passed | 0.62202 seconds |
./spec/policies/review_policy_spec.rb[1:1:4:1]        | passed | 1.3 seconds     |
./spec/policies/review_policy_spec.rb[1:1:4:2]        | passed | 1.23 seconds    |
./spec/policies/review_policy_spec.rb[1:1:5:1]        | passed | 1.19 seconds    |
./spec/policies/review_policy_spec.rb[1:1:5:2]        | passed | 1.19 seconds    |
./spec/policies/room_policy_spec.rb[1:1:1:1]          | passed | 0.63955 seconds |
./spec/policies/room_policy_spec.rb[1:1:1:2]          | passed | 0.61938 seconds |
./spec/policies/room_policy_spec.rb[1:1:1:3]          | passed | 0.62469 seconds |
./spec/policies/room_policy_spec.rb[1:1:1:4]          | passed | 0.61618 seconds |
./spec/policies/room_policy_spec.rb[1:1:2:1]          | passed | 1.25 seconds    |
./spec/policies/room_policy_spec.rb[1:1:2:2]          | passed | 1.24 seconds    |
./spec/policies/room_policy_spec.rb[1:1:2:3]          | passed | 1.21 seconds    |
./spec/policies/room_policy_spec.rb[1:1:2:4]          | passed | 1.2 seconds     |
./spec/policies/room_policy_spec.rb[1:1:3:1]          | passed | 0.63323 seconds |
./spec/policies/room_policy_spec.rb[1:1:3:2]          | passed | 0.62047 seconds |
./spec/policies/room_policy_spec.rb[1:1:3:3]          | passed | 0.61966 seconds |
./spec/policies/room_policy_spec.rb[1:1:4:1]          | passed | 1.2 seconds     |
./spec/policies/room_policy_spec.rb[1:1:4:2]          | passed | 1.22 seconds    |
./spec/policies/room_policy_spec.rb[1:1:4:3]          | passed | 1.32 seconds    |
./spec/policies/room_policy_spec.rb[1:1:5:1]          | passed | 1.22 seconds    |
./spec/policies/room_policy_spec.rb[1:1:5:2]          | passed | 1.19 seconds    |
./spec/requests/admin_dashboard_spec.rb[1:1:1]        | passed | 0.24799 seconds |
./spec/requests/admin_dashboard_spec.rb[1:1:2]        | passed | 0.23393 seconds |
./spec/requests/admin_dashboard_spec.rb[1:1:3]        | passed | 6.27 seconds    |
./spec/requests/admin_dashboard_spec.rb[1:2:1]        | passed | 0.29487 seconds |
./spec/requests/admin_dashboard_spec.rb[1:2:2]        | passed | 0.3525 seconds  |
./spec/requests/admin_dashboard_spec.rb[1:3:1]        | passed | 0.28475 seconds |
./spec/requests/admin_dashboard_spec.rb[1:3:2]        | passed | 0.26394 seconds |
./spec/requests/bookings_spec.rb[1:1:1:1]             | failed | 1.22 seconds    |
./spec/requests/bookings_spec.rb[1:1:2:1]             | failed | 1.25 seconds    |
./spec/requests/bookings_spec.rb[1:1:2:2]             | failed | 1.23 seconds    |
./spec/requests/bookings_spec.rb[1:2:1]               | failed | 1.26 seconds    |
./spec/requests/bookings_spec.rb[1:2:2]               | failed | 2 seconds       |
./spec/requests/bookings_spec.rb[1:3:1:1]             | failed | 1.29 seconds    |
./spec/requests/bookings_spec.rb[1:3:2:1]             | failed | 1.26 seconds    |
./spec/requests/bookings_spec.rb[1:4:1]               | failed | 1.25 seconds    |
./spec/requests/favorites_spec.rb[1:1:1:1]            | failed | 0.04836 seconds |
./spec/requests/favorites_spec.rb[1:1:2:1]            | failed | 0.71524 seconds |
